geoRegion,datum,entries,timeframe_all,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_2w,timeframe_4w,sum2w,sum4w,mean2w,mean4w,sumTotal_last2w,sumTotal_last4w,inzmean2w,inzmean4w,inzsumTotal_last2w,inzsumTotal_last4w,inzsum2w,inzsum4w,entries_letzter_stand,entries_neu_gemeldet,entries_diff_last_age,entries_diff_last
CHFL,202052,604,TRUE,7314,1,100,8777846,6.88,83.32,COVID19Death,,2023-08-22_06-00-20,isoweek,2020-52,-47,-0.54,-7.2,0,FALSE,FALSE,1255,2472,627.5,618,NA,NA,7.15,7.04,NA,NA,14.3,28.16,604,0,7,1
CHFL,202053,555,TRUE,7869,1,100,8777846,6.32,89.65,COVID19Death,,2023-08-22_06-00-20,isoweek,2020-53,-49,-0.56,-8.1,0,FALSE,FALSE,1159,2419,579.5,604.75,NA,NA,6.6,6.89,NA,NA,13.2,27.56,555,0,7,1
CHFL,202101,423,TRUE,8292,1,100,8777846,4.82,94.47,COVID19Death,,2023-08-22_06-00-20,isoweek,2021-01,-132,-1.5,-23.8,0,FALSE,FALSE,978,2233,489,558.25,NA,NA,5.57,6.36,NA,NA,11.14,25.44,423,0,7,1
CHFL,202102,377,TRUE,8669,1,100,8777846,4.29,98.76,COVID19Death,,2023-08-22_06-00-20,isoweek,2021-02,-46,-0.53,-10.9,0,FALSE,FALSE,800,1959,400,489.75,NA,NA,4.56,5.58,NA,NA,9.11,22.32,377,0,7,1
CHFL,202103,334,TRUE,9003,1,100,8777846,3.81,102.57,COVID19Death,,2023-08-22_06-00-20,isoweek,2021-03,-43,-0.48,-11.4,0,FALSE,FALSE,711,1689,355.5,422.25,NA,NA,4.05,4.81,NA,NA,8.1,19.24,334,0,7,1
CHFL,202104,242,TRUE,9245,1,100,8777846,2.76,105.32,COVID19Death,,2023-08-22_06-00-20,isoweek,2021-04,-92,-1.05,-27.5,0,FALSE,FALSE,576,1376,288,344,NA,NA,3.28,3.92,NA,NA,6.56,15.68,242,0,7,1
CHFL,202105,166,TRUE,9411,1,100,8777846,1.89,107.21,COVID19Death,,2023-08-22_06-00-20,isoweek,2021-05,-76,-0.87,-31.4,0,FALSE,FALSE,408,1119,204,279.75,NA,NA,2.32,3.19,NA,NA,4.65,12.75,166,0,7,1
CHFL,202106,130,TRUE,9541,1,100,8777846,1.48,108.69,COVID19Death,,2023-08-22_06-00-20,isoweek,2021-06,-36,-0.41,-21.7,0,FALSE,FALSE,296,872,148,218,NA,NA,1.69,2.48,NA,NA,3.37,9.93,130,0,7,1
CHFL,202107,86,TRUE,9627,1,100,8777846,0.98,109.67,COVID19Death,,2023-08-22_06-00-20,isoweek,2021-07,-44,-0.5,-33.8,0,FALSE,FALSE,216,624,108,156,NA,NA,1.23,1.78,NA,NA,2.46,7.11,86,0,7,1
CHFL,202108,63,TRUE,9690,1,100,8777846,0.72,110.39,COVID19Death,,2023-08-22_06-00-20,isoweek,2021-08,-23,-0.26,-26.7,0,FALSE,FALSE,149,445,74.5,111.25,NA,NA,0.85,1.27,NA,NA,1.7,5.07,63,0,7,1
CHFL,202109,65,TRUE,9755,1,100,8777846,0.74,111.13,COVID19Death,,2023-08-22_06-00-20,isoweek,2021-09,2,0.02,3.2,0,FALSE,FALSE,128,344,64,86,NA,NA,0.73,0.98,NA,NA,1.46,3.92,65,0,7,1
CHFL,202110,75,TRUE,9830,1,100,8777846,0.85,111.99,COVID19Death,,2023-08-22_06-00-20,isoweek,2021-10,10,0.11,15.4,0,FALSE,FALSE,140,289,70,72.25,NA,NA,0.8,0.82,NA,NA,1.59,3.29,75,0,7,1
CHFL,202111,62,TRUE,9892,1,100,8777846,0.71,112.69,COVID19Death,,2023-08-22_06-00-20,isoweek,2021-11,-13,-0.14,-17.3,0,FALSE,FALSE,137,265,68.5,66.25,NA,NA,0.78,0.75,NA,NA,1.56,3.02,62,0,7,1
CHFL,202112,60,TRUE,9952,1,100,8777846,0.68,113.38,COVID19Death,,2023-08-22_06-00-20,isoweek,2021-12,-2,-0.03,-3.2,0,FALSE,FALSE,122,262,61,65.5,NA,NA,0.69,0.75,NA,NA,1.39,2.98,60,0,7,1
CHFL,202113,71,TRUE,10023,1,100,8777846,0.81,114.19,COVID19Death,,2023-08-22_06-00-20,isoweek,2021-13,11,0.13,18.3,0,FALSE,FALSE,131,268,65.5,67,NA,NA,0.75,0.76,NA,NA,1.49,3.05,71,0,7,1
CHFL,202114,63,TRUE,10086,1,100,8777846,0.72,114.9,COVID19Death,,2023-08-22_06-00-20,isoweek,2021-14,-8,-0.09,-11.3,0,FALSE,FALSE,134,256,67,64,NA,NA,0.76,0.73,NA,NA,1.53,2.92,63,0,7,1
CHFL,202115,46,TRUE,10132,1,100,8777846,0.52,115.43,COVID19Death,,2023-08-22_06-00-20,isoweek,2021-15,-17,-0.2,-27,0,FALSE,FALSE,109,240,54.5,60,NA,NA,0.62,0.68,NA,NA,1.24,2.73,46,0,7,1
CHFL,202116,55,TRUE,10187,1,100,8777846,0.63,116.05,COVID19Death,,2023-08-22_06-00-20,isoweek,2021-16,9,0.11,19.6,0,FALSE,FALSE,101,235,50.5,58.75,NA,NA,0.58,0.67,NA,NA,1.15,2.68,55,0,7,1
CHFL,202117,70,TRUE,10257,1,100,8777846,0.8,116.85,COVID19Death,,2023-08-22_06-00-20,isoweek,2021-17,15,0.17,27.3,0,FALSE,FALSE,125,234,62.5,58.5,NA,NA,0.71,0.67,NA,NA,1.42,2.67,70,0,7,1
CHFL,202118,41,TRUE,10298,1,100,8777846,0.47,117.32,COVID19Death,,2023-08-22_06-00-20,isoweek,2021-18,-29,-0.33,-41.4,0,FALSE,FALSE,111,212,55.5,53,NA,NA,0.63,0.6,NA,NA,1.26,2.42,41,0,7,1
